iter	Passed	Remaining
612	6038	6767
613	6045	6754
614	6053	6742
615	6060	6728
616	6067	6716
617	6074	6703
618	6081	6690
619	6087	6676
620	6093	6662
621	6102	6651
622	6110	6639
623	6116	6626
624	6123	6613
625	6130	6600
626	6138	6589
627	6146	6577
628	6153	6564
629	6160	6551
630	6167	6538
631	6174	6526
632	6183	6515
633	6191	6504
634	6199	6492
635	6206	6479
636	6213	6466
637	6221	6455
638	6229	6443
639	6236	6430
640	6244	6419
641	6251	6406
642	6257	6394
643	6270	6387
644	6281	6378
645	6289	6367
646	6299	6358
647	6309	6348
648	6320	6339
649	6329	6329
650	6339	6320
651	6349	6310
652	6357	6298
653	6364	6286
654	6372	6275
655	6382	6265
656	6389	6253
657	6398	6242
658	6405	6230
659	6413	6219
660	6421	6207
661	6429	6196
662	6438	6185
663	6447	6175
664	6458	6166
665	6467	6156
666	6477	6147
667	6489	6139
668	6499	6130
669	6512	6123
670	6523	6115
671	6534	6107
672	6545	6097
673	6556	6089
674	6568	6082
675	6579	6073
676	6592	6066
677	6603	6057
678	6615	6050
679	6626	6042
680	6636	6032
681	6646	6022
682	6656	6013
683	6667	6004
684	6675	5993
685	6684	5982
686	6693	5972
687	6702	5962
688	6711	5951
689	6718	5939
690	6726	5928
691	6735	5917
692	6744	5907
693	6752	5896
694	6762	5886
695	6770	5875
696	6779	5864
697	6787	5854
698	6798	5845
699	6807	5834
700	6816	5824
701	6826	5814
702	6836	5805
703	6846	5795
704	6856	5786
705	6866	5777
706	6877	5768
707	6887	5758
708	6898	5750
709	6910	5742
710	6922	5734
711	6934	5726
712	6944	5717
713	6954	5707
714	6965	5699
715	6976	5689
716	6985	5680
717	6997	5672
718	7009	5664
719	7022	5656
720	7033	5647
721	7044	5639
722	7056	5631
723	7068	5623
724	7078	5613
725	7086	5603
726	7094	5591
727	7102	5580
728	7110	5569
729	7117	5557
730	7126	5547
731	7135	5536
732	7143	5525
733	7151	5514
734	7160	5504
735	7169	5493
736	7178	5483
737	7188	5474
738	7200	5466
739	7211	5457
740	7220	5447
741	7228	5435
742	7235	5424
743	7242	5412
744	7249	5400
745	7256	5388
746	7263	5376
747	7270	5365
748	7277	5353
749	7284	5341
750	7291	5330
751	7299	5318
752	7306	5307
753	7313	5296
754	7320	5284
755	7328	5273
756	7335	5261
757	7341	5249
758	7349	5238
759	7358	5228
760	7365	5216
761	7373	5206
762	7382	5195
763	7392	5186
764	7401	5175
765	7410	5166
766	7420	5156
767	7430	5147
768	7441	5138
769	7451	5128
770	7462	5120
771	7471	5110
772	7481	5100
773	7492	5091
774	7503	5083
775	7514	5074
776	7525	5065
777	7536	5056
778	7547	5047
779	7557	5038
780	7566	5028
781	7577	5019
782	7586	5009
783	7596	4999
784	7606	4990
785	7618	4981
786	7629	4973
787	7640	4964
788	7652	4956
789	7664	4947
790	7675	4939
791	7686	4930
792	7695	4920
793	7706	4911
794	7716	4901
795	7726	4892
796	7736	4882
797	7746	4872
798	7755	4862
799	7765	4853
800	7774	4843
801	7785	4834
802	7795	4824
803	7804	4814
804	7813	4804
805	7822	4794
806	7831	4784
807	7838	4772
808	7846	4761
809	7855	4751
810	7864	4742
811	7874	4732
